"parpola_class","description","tokens_in_corpus","stored_initial","stored_final","parpola_v_numbers","wells_w_numbers","mahadevan_m_numbers"
"P370","Leaf with small square hatched decoration inside, small tooth off top right","0","0","0","V671","",""
"P371","Leaf with small square hatched decoration inside, pitchfork head inside","0","0","0","V251","W815 W816","M383"
"P372","Leaf with diagonal-stroke central decoration","1","0","0","V116 V257","W831 W833","M379"
"P373","Leaf with tooth off top-right, and tooth off bottom-left","0","0","0","V804","",""
"P374","Leaf with stretched diamond overlapping from top right to top bottom","0","0","0","V805","",""
"P375","Leaf. Diamond in center with vertical strokes out each edge to edge of leaf. Vertical lines similarly from top and bottom vertices","0","0","0","V301","W823","M384"
"P376","Leaf with diagonal overlapping cross hatching throughout","0","0","0","V297","W825","M380"
"P377","Circle with plus sign fully inscribed","0","0","0","V587","W818",""
"P378","Wheel with 6 spokes with even angles","17","2","10","V163 V254","W820","M391"
"P379","Wheel with 6 spokes with even angles, two tall vertical strokes on left, all caged by four small vertical strokes","1","1","1","V569 V338","","M392"
"P380","2x2 grid, each cell has a small vertical stroke","0","0","0","V063 V284","W626","M247"
"P381","Diamond with gridding, each grid cell has a small stroke in it","1","0","0","V113","W879",""
"P382","Diamond with four small diamonds at each vertex","1","0","0","V164 V556","W877","M284"
"P383","Diamond with four small diamonds at each vertex, caged by four small vertical strokes","0","0","0","V584 V788","W878","M285"
"P384","Diamond with four small diamonds at each vertex, and a wagon wheel in the center","2","0","1","V114 V797","W880","M286"
"P385","Diamond or leaf shape with a small diamond attached to the top","35","0","29","V162 V420 V421 V510","W817 W861","M267"
"P386","Diamond or leaf shape directly above another, with small diamonds inside each at the center","1","0","0","V352","W202","M268"
"P387","Diamond with a small diamond attached to the top, two orthogonal strokes going through bottom left edge","0","0","0","V433","","M276"
"P388","Diamond with a small diamond attached to the top, lower left edge has a doubling parallel line inside the diamond","0","0","0","V430 V802","W868","M275"
"P389","Diamond with several lines coming from top outward in a sunburst","0","0","0","V363 V227","W865","M272"
"P390","Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom","2","1","0","V418","W869 W871","M277 M279 M280 M282 M283"
"P391","Diamond with small diamond at top (and maybe even smaller diamond on right), small diamond at top has decoration off the bottom, all caged by four small vertical strokes","0","0","0","V487","W870","M278"
"P392","Diamond with small diamond in top vertex, bird foot or tree coming off top left edge","0","0","0","V677","W863","M270"
"P393","Diamond with small diamond in top vertex, multiple trees off top right edge","1","0","1","V351","W864","M271"
"P394","Diamond with small diamond in top vertex, jar handles or trees coming from top vertex, one on each side","0","0","0","V468 V409","","M274"
"P395","Diamond with small diamond in top vertex, rakes coming from top vertex, one on each side","0","0","0","V406","","M273"
"P396","Square with small square inside top left vertex, 9 slanted vertical strokes in a 3x3 pattern inside","0","0","0","V753","W628","M236"
"default_features","Default features for the grapheme dataset","0","0","0","","",""
