"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-096","3504","kōṇa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. kuṇi-, *khuṇṭa-²: ← Drav. T. Burrow BSOAS xi 341","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-097","3527","kōraka","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. (Tam. kuṟai 'sprout', Kui kōṛu 'bud') EWA i 272","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-098","3535","kōlika","dravidian","into-Indo-Aryan","no","no","","0","","","","","EWA i 273 ← *kōḍika- (in Tam. kōṭikar 'weaver') ~ Mu. word for 'spider' in Pk. mak-kōḍā- s.v. markaṭa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-099","3535","kōlika","munda","into-Indo-Aryan","no","no","","0","","","","","EWA i 273 ← *kōḍika- (in Tam. kōṭikar 'weaver') ~ Mu. word for 'spider' in Pk. mak-kōḍā- s.v. markaṭa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-100","3769","khaṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. kaṭa-², khēṭa- ⁴ n. 'grass' lex.: ← Drav. T. Burrow BSOAS xii 368","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-101","3801","*khaṇḍu","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. *khadda-, *khāru-: ← Drav. cf. Tel. kaṇḍuvā 'upper garment'; Kol. khanḍva 'cloth', Nk. khanḍa, Prj. ganḍa: see DED 85","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-102","3827","kharju","dravidian","into-Indo-Aryan","no","no","","0","","","","","S. P. point to *khārj-: ← Drav. see kacchū́-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-103","3854","khasa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. with kacchū́- &amp;c. ← Drav.; EWA i 307 connects with kaṣati also ← Drav.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-104","3878","khiṅkhira","munda","into-Indo-Aryan","no","no","","0","","","","","Cf. khikhi-, kikhi- f. lex.: ← Mu. PMWS 52","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-105","3906","khura","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. T. Burrow BSOAS xii 376: it belongs to the word-group 'heel-ankle-knee-wrist', see *kuṭṭha-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-106","3938","*khōppa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav. DED no. 1441","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-107","3939","*khōppa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. DED no. 1755","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-108","3977","gaḍu","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav., cf. gaṇḍá-¹","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-109","3984","gaḍḍuka","munda","into-Indo-Aryan","no","no","","0","","","","","Grouped by PMWS 55 with gargara-² and ghaṭa- as ← Mu.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-110","3997","gaṇḍá","dravidian","into-Indo-Aryan","no","no","","0","","","","","Prob. ← Drav. EWA i 317 with lit., but cf. Psht. γuṇḍ 'round', Pers. gunda 'ball of leaven', gund 'testicle' &lt; *gr̥nda- NTS xii 263. — See also gaḍu-¹, gaṇḍu-, *giḍa-, *gilla-, kanda-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-111","3998","gaṇḍa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. kā́ṇḍa-: prob. ← Drav. DED 1619","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-112","3999","gaṇḍa","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. galla-: ← Drav. EWA i 317","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-113","4000","gaṇḍá","munda","into-Indo-Aryan","no","no","","0","","","","","Prob. of same non-Aryan origin as khaḍgá-¹: cf. gaṇōtsāha- m. lex. as a Sanskritized form ← Mu. PMWS 138","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-114","4001","gaṇḍaka","munda","into-Indo-Aryan","no","no","","0","","","","","← Mu. Przyluski RoczOrj iv 234","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-115","4043","gargara","munda","into-Indo-Aryan","no","no","gárgara-","1","","","8:1","A:1","Onom. and prob. same as gárgara-¹, cf. similar onom. formation in Eng. guggle, guglet NED s.vv. — Ac. to PMWS 55 with karkarī- f. 'waterjar' Bhartr̥. ← Mu.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-116","4053","*garda","dravidian","into-Indo-Aryan","no","yes","","0","gardabhá-","","","","Cf. gárta-² m. 'high seat, chariot seat' RV., 'chariot' Gaut. EWA i 327 of IE. origin, but prob. with T. Burrow BSOAS xii 377 ← Drav.: Kan. garduge, gaddigĕ 'throne, seat', Tel. gadde. — Poss. same as *gāḍḍa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-117","4089","galla","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. gaṇḍa-³: ← Drav. EWA i 317","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-118","4153","*gicc","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav., J. Bloch BEFEO xliv 49: Kurukh ginjnā 'to beat into pulp'. — Cf. Muṇḍārī geje̯ geje̯ 'to reduce to a pulp', Sant. ge̱je̱ ge̱je̱; 'crammed', gijgij 'close'","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
